Name,IpAddress,Backend,ManufacturerName,ModelName,Notes,IsEnabled
"x400","10.0.0.56","Moonraker","Unknown","Unknown","Auto-discovered",false
"arco1","10.0.0.64","Moonraker","Unknown","Unknown","Auto-discovered",false
